name,Calc,Smiles,path_l_geom,path_l_freq,notes
TS_OH_add_ortho,TS_OH_add_ortho,c1c(CO)cccc1+[OH]+->C1=C[CH]C(O)C(CO)=C1+++,/TS_OH_add_ortho,/TS_OH_add_ortho,
TS_BA_ortho_OH_O2_adduct_cycle,TS_BA_ortho_OH_O2_adduct_cycle,C1=CC(O[O])C(O)C(CO)=C1++->C1[CH]C(OO2)C(O)C2(CO)C=1+++,/TS_BA_ortho_OH_O2_adduct_cycle,/TS_BA_ortho_OH_O2_adduct_cycle,
TS_BA_ortho_OH_O2_adduct_cycle_O2_add,TS_BA_ortho_OH_O2_adduct_cycle_O2_add,C1[CH]C(OO2)C(O)C2(CO)C=1+[O][O]+->C1C(O[O])C(OO2)C(O)C2(CO)C=1+++,/TS_BA_ortho_OH_O2_adduct_cycle_O2_add,/TS_BA_ortho_OH_O2_adduct_cycle_O2_add,
TS_BA_ortho_OH_O2_adduct_cycle_peroxyl_O_transfer,TS_BA_ortho_OH_O2_adduct_cycle_peroxyl_O_transfer,C1C(O[O])C(OO2)C(O)C2(CO)C=1+C1C(O[O])C(OO2)C(O)C2(CO)C=1+->C1C([O])C(OO2)C(O)C2(CO)C=1+C1C([O])C(OO2)C(O)C2(CO)C=1+[O][O]+,/TS_BA_ortho_OH_O2_adduct_cycle_peroxyl_O_transfer,/TS_BA_ortho_OH_O2_adduct_cycle_peroxyl_O_transfer,placeholder
TS_BA_ortho_OH_O2_adduct_cycle_oxyl_open,TS_BA_ortho_OH_O2_adduct_cycle_oxyl_open,C1C([O])C(OO2)C(O)C2(CO)C=1++->O=CC=CC(CO)([O])C(O)C=O+++,/TS_BA_ortho_OH_O2_adduct_cycle_oxyl_open,/TS_BA_ortho_OH_O2_adduct_cycle_oxyl_open,
TS_BA_ortho_OH_O2_adduct_open_frag,TS_BA_ortho_OH_O2_adduct_open_frag,O=CC=CC(CO)([O])C(O)C=O++->OCC(=O)/C=C\C=O+C(=O)[CH]O++,/TS_BA_ortho_OH_O2_adduct_open_frag,/TS_BA_ortho_OH_O2_adduct_open_frag,
TS_BA_ortho_OH_O2_adduct_cycle_oxyl_epoxidation,TS_BA_ortho_OH_O2_adduct_cycle_oxyl_epoxidation,C1C([O])C(OO2)C(O)C2(CO)C=1++->C13C(O3)C(OO2)C(O)C2(CO)[CH]1+++,/TS_BA_ortho_OH_O2_adduct_cycle_oxyl_epoxidation,/TS_BA_ortho_OH_O2_adduct_cycle_oxyl_epoxidation,
TS_C2_rad_O2_add,TS_C2_rad_O2_add,C(=O)[CH]O+[O][O]+->C(=O)C(O[O])O+++,/TS_C2_rad_O2_add,/TS_C2_rad_O2_add,
TS_C2_peroxyl_adduct_OOH_elim,TS_C2_peroxyl_adduct_OOH_elim,C(=O)C(O[O])O++->C(=O)C=O+[O][OH]++,/TS_C2_peroxyl_adduct_OOH_elim,/TS_C2_peroxyl_adduct_OOH_elim,
TS_ortho_adduct_O2_add_anti,TS_ortho_adduct_O2_add_anti,C1=C[CH]C(O)C(CO)=C1+[O][O]+->C1=CC(O[O])C(O)C(CO)=C1+++,/TS_ortho_adduct_O2_add_anti,/TS_ortho_adduct_O2_add_anti,
