,name,Calc,Smiles,path_l_geom,path_l_freq,notes
62,TS_dioxo_hydroperoxy_pentenal_hydration,TS_dioxo_hydroperoxy_pentenal_hydration,C(=O)C(=O)CC(OO)C(O)O+O+->OC(O)C(=O)CC(OO)C(O)O+++,/TS_dioxo_hydroperoxy_pentenal_hydration,/TS_dioxo_hydroperoxy_pentenal_hydration,
63,TS_dioxo_hydroperoxy_pentenal_hydrate_peroxyl_rad_O_trans,TS_dioxo_hydroperoxy_pentenal_hydrate_peroxyl_rad_O_trans,OC(O)C(O)(OO)CC(O[O])C(O)O+OC(O)C(O)(OO)CC(O[O])C(O)O+->OC(O)C(O)(OO)CC([O])C(O)O+OC(O)C(O)(OO)CC([O])C(O)O+[O][O]+,/TS_dioxo_hydroperoxy_pentenal_hydrate_peroxyl_rad_O_trans,/TS_dioxo_hydroperoxy_pentenal_hydrate_peroxyl_rad_O_trans,
64,TS_tetrahydroxy_hydroperoxy_butane_peroxyl_Otrans,TS_tetrahydroxy_hydroperoxy_butane_peroxyl_Otrans,OC(O)C(O)(OO)CC(O[O])O+OC(O)C(O)(OO)CC(O[O])O+->OC(O)C(O)(OO)CC([O])O+OC(O)C(O)(OO)CC([O])O+[O][O]+,/TS_tetrahydroxy_hydroperoxy_butane_peroxyl_Otrans,/TS_tetrahydroxy_hydroperoxy_butane_peroxyl_Otrans,
65,TS_trihydroxy_hydroperoxy_propane_peroxyl_Otrans,TS_trihydroxy_hydroperoxy_propane_peroxyl_Otrans,OC(O)C(O)(OO)C(O[O])+OC(O)C(O)(OO)C(O[O])+->OC(O)C(O)(OO)C([O])+OC(O)C(O)(OO)C([O])+[O][O]+,/TS_trihydroxy_hydroperoxy_propane_peroxyl_Otrans,/TS_trihydroxy_hydroperoxy_propane_peroxyl_Otrans,
67,TS_pentane_dicarbonyl_2peroxyl_intra_HT,TS_pentane_dicarbonyl_2peroxyl_intra_HT,C(O)C(=O)CC(O[O])C(O)O++->[CH](O)C(=O)CC(OO)C(O)O+++,/TS_pentane_dicarbonyl_2peroxyl_intra_HT,/TS_pentane_dicarbonyl_2peroxyl_intra_HT, 
68,TS_hydroperoxy_pentanyl_rad_O2_add,TS_hydroperoxy_pentanyl_rad_O2_add,[CH](O)C(=O)CC(OO)C(O)O+[O][O]+->C(O[O])(O)C(=O)CC(OO)C(O)O+++,/TS_hydroperoxy_pentanyl_rad_O2_add,/TS_hydroperoxy_pentanyl_rad_O2_add, 
69,TS_hydroperoxy_pentanyl_rad_O2_adduct_OOH_elim,TS_hydroperoxy_pentanyl_rad_O2_adduct_OOH_elim,C(O[O])(O)C(=O)CC(OO)C(O)O++->C(=O)C(=O)CC(OO)C(O)O+[O][OH]++,/TS_hydroperoxy_pentanyl_rad_O2_adduct_OOH_elim,/TS_hydroperoxy_pentanyl_rad_O2_adduct_OOH_elim, 
70,TS_dioxo_hydroperoxy_pentenal_hydrate_intraHT,TS_dioxo_hydroperoxy_pentenal_hydrate_intraHT,OC(O)C(O)(O[O])CC(OO)C(O)O++->OC(O)C(O)(OO)CC(O[O])C(O)O+++,/TS_dioxo_hydroperoxy_pentenal_hydrate_intraHT,/TS_dioxo_hydroperoxy_pentenal_hydrate_intraHT, 
72,TS_tetrahydroxy_hydroperoxy_butane_oxyl_frag,TS_tetrahydroxy_hydroperoxy_butane_oxyl_frag,OC(O)C(O)(OO)CC([O])O++->OC(O)C(O)(OO)[CH2]+C(O)=O++,/TS_tetrahydroxy_hydroperoxy_butane_oxyl_frag,/TS_tetrahydroxy_hydroperoxy_butane_oxyl_frag, 
73,TS_trihydroxy_hydroperoxy_propanyl_O2_add,TS_trihydroxy_hydroperoxy_propanyl_O2_add,OC(O)C(O)(OO)[CH2]+[O][O]+->OC(O)C(O)(OO)C(O[O])+++,/TS_trihydroxy_hydroperoxy_propanyl_O2_add,/TS_trihydroxy_hydroperoxy_propanyl_O2_add, 
