name,Calc,Smiles,path_l_geom,path_l_freq,notes
O2_oxygen,O2_oxygen,[O][O],/O2_oxygen,/O2_oxygen,
OOH_rad,OOH_rad,[O][OH],/OOH_rad,/OOH_rad,
OH_rad,OH_rad,[OH],/OH_rad,/OH_rad,
glyoxal_trans,glyoxal_trans,C(=O)C=O,/glyoxal_trans,/glyoxal_trans,
butenedial,butenedial,O=C/C=C\C=O,/butenedial,/butenedial,
benzene,benzene,c1ccccc1,/benzene,/benzene,
benzene_OH_adduct,benzene_OH_adduct,C1(O)C=CC=C[CH]1,/benzene_OH_adduct,/benzene_OH_adduct,
benzene_OH_O2_adduct_syn,benzene_OH_O2_adduct_syn,[C@H]1(O)C=CC=C[C@@H](O[O])1,/benzene_OH_O2_adduct_syn,/benzene_OH_O2_adduct_syn,
phenol,phenol,c1c(O)cccc1,/phenol,/phenol,
hydroxy_acetal_rad,hydroxy_acetal_rad,C(=O)[CH]O,/hydroxy_acetal_rad,/hydroxy_acetal_rad,
glyoxal_OOH_adduct,glyoxal_OOH_adduct,C(=O)C(O[O])O,/glyoxal_OOH_adduct,/glyoxal_OOH_adduct,
benzene_OH_O2_cycle_anti,benzene_OH_O2_cycle_anti,[C@H]1(O)[C@H]2[CH]C=C[C@H](OO2)1,/benzene_OH_O2_cycle_anti,/benzene_OH_O2_cycle_anti,
benzene_OH_O2_adduct_anti,benzene_OH_O2_adduct_anti,[C@H]1(O)C=CC=C[C@H](O[O])1,/benzene_OH_O2_adduct_anti,/benzene_OH_O2_adduct_anti,
benzene_OH_O2_cycle_add_peroxyl_anti,benzene_OH_O2_cycle_add_peroxyl_anti,[C@H]1(O)[C@@H]2[C@@H](O[O])C=C[C@H](OO2)1,/benzene_OH_O2_cycle_add_peroxyl_anti,/benzene_OH_O2_cycle_add_peroxyl_anti,
benzene_OH_O2_cycle_oxyl_anti,benzene_OH_O2_cycle_oxyl_anti,[C@H]1(O)[C@@H]2[C@@H]([O])C=C[C@H](OO2)1,/benzene_OH_O2_cycle_oxyl_anti,/benzene_OH_O2_cycle_oxyl_anti,
benzene_OH_O2_cycle_epoxide_anti,benzene_OH_O2_cycle_epoxide_anti,[C@@H]1(O)[C@@H]2[C@H](O3)[C@H]3[CH][C@@H](OO2)1,/benzene_OH_O2_cycle_epoxide_anti,/benzene_OH_O2_cycle_epoxide_anti,
benzene_OH_O2_bicycle_14,benzene_OH_O2_bicycle_14,[CH]1(O)[CH]C2C=C[CH](OO2)1,/benzene_OH_O2_bicycle_14,/benzene_OH_O2_bicycle_14,
