name,Calc,Smiles,path_l_geom,path_l_freq,notes
O2_oxygen,O2_oxygen,[O][O],/O2_oxygen,/O2_oxygen,
water,water,O,/water,/water,
OOH_rad,OOH_rad,[O][OH],/OOH_rad,/OOH_rad,
OH_rad,OH_rad,[OH],/OH_rad,/OH_rad,
benzyl_alcohol,benzyl_alcohol,c1c(CO)cccc1,/benzyl_alcohol,/benzyl_alcohol,
glyoxal_trans,glyoxal_trans,C(=O)C=O,/glyoxal_trans,/glyoxal_trans,
hydroxy_acetal_rad,hydroxy_acetal_rad,C(=O)[CH]O,/hydroxy_acetal_rad,/hydroxy_acetal_rad,
glyoxal_OOH_adduct,glyoxal_OOH_adduct,C(=O)C(O[O])O,/glyoxal_OOH_adduct,/glyoxal_OOH_adduct,
BA_ortho_OH_adduct,BA_ortho_OH_adduct,C1=C[CH]C(O)C(CO)=C1,/BA_ortho_OH_adduct,/BA_ortho_OH_adduct,
BA_ortho_OH_O2_add_anti,BA_ortho_OH_O2_add_anti,C1=CC(O[O])C(O)C(CO)=C1,/BA_ortho_OH_O2_add_anti,/BA_ortho_OH_O2_add_anti,
benzyl_alcohol_ortho_OH_O2_bicycle,benzyl_alcohol_ortho_OH_O2_bicycle,C1[CH]C(OO2)C(O)C2(CO)C=1,/benzyl_alcohol_ortho_OH_O2_bicycle,/benzyl_alcohol_ortho_OH_O2_bicycle,
benzyl_alcohol_ortho_OH_O2_bicycle_peroxyl,benzyl_alcohol_ortho_OH_O2_bicycle_peroxyl,C1C(O[O])C(OO2)C(O)C2(CO)C=1,/benzyl_alcohol_ortho_OH_O2_bicycle_peroxyl,/benzyl_alcohol_ortho_OH_O2_bicycle_peroxyl,
benzyl_alcohol_ortho_OH_O2_bicycle_oxyl,benzyl_alcohol_ortho_OH_O2_bicycle_oxyl,C1C([O])C(OO2)C(O)C2(CO)C=1,/benzyl_alcohol_ortho_OH_O2_bicycle_oxyl,/benzyl_alcohol_ortho_OH_O2_bicycle_oxyl,
BA_ortho_oxyl_rad_open,BA_ortho_oxyl_rad_open,O=CC=CC(CO)([O])C(O)C=O,/BA_ortho_oxyl_rad_open,/BA_ortho_oxyl_rad_open,
5hydroxy4oxo2pentenal_ald,5hydroxy4oxo2pentenal_ald,OCC(=O)/C=C\C=O,/5hydroxy4oxo2pentenal_ald,/5hydroxy4oxo2pentenal_ald,
5hydroxy4oxo2pentenal_hyd,5hydroxy4oxo2pentenal_hyd,OCC(=O)/C=C\C(O)O,/5hydroxy4oxo2pentenal_hyd,/5hydroxy4oxo2pentenal_hyd,
glyoxal_hyd,glyoxal_hyd,OC(O)C(O)O,/glyoxal_hyd,/glyoxal_hyd,
BA_ortho_epoxide,BA_ortho_epoxide,C13C(O3)C(OO2)C(O)C2(CO)[CH]1,/BA_ortho_epoxide,/BA_ortho_epoxide,
BA_ortho_peroxide_O2_ortho_add,BA_ortho_peroxide_O2_ortho_add,C1=CC(OO2)C(O)C2(CO)C(O[O])1,/BA_ortho_peroxide_O2_ortho_add,/BA_ortho_peroxide_O2_ortho_add,
O2_oxygen,O2_oxygen,[O][O],/O2_oxygen,/O2_oxygen,
water,water,O,/water,/water,
OOH_rad,OOH_rad,[O][OH],/OOH_rad,/OOH_rad,
OH_rad,OH_rad,[OH],/OH_rad,/OH_rad,
benzyl_alcohol_hydroxymethyl_peroxyl_rad,benzyl_alcohol_hydroxymethyl_peroxyl_rad,c1c(C(O[O])O)cccc1,/benzyl_alcohol_hydroxymethyl_peroxyl_rad,/benzyl_alcohol_hydroxymethyl_peroxyl_rad,
benzyl_alcohol_ipso_OH_adduct,benzyl_alcohol_ipso_OH_adduct,C1C(O)(CO)[CH]C=CC=1,/benzyl_alcohol_ipso_OH_adduct,/benzyl_alcohol_ipso_OH_adduct,
benzyl_alcohol_ipso_OH_O2_adduct,benzyl_alcohol_ipso_OH_O2_adduct,C1C(O)(CO)[C@@H](O[O])C=CC=1,/benzyl_alcohol_ipso_OH_O2_adduct,/benzyl_alcohol_ipso_OH_O2_adduct,
benzyl_alcohol,benzyl_alcohol,c1c(CO)cccc1,/benzyl_alcohol,/benzyl_alcohol,
benzyl_alcohol_hydroxymethyl_rad,benzyl_alcohol_hydroxymethyl_rad,c1c([CH]O)cccc1,/benzyl_alcohol_hydroxymethyl_rad,/benzyl_alcohol_hydroxymethyl_rad,
