,name,Calc,Smiles,path_l_geom,path_l_freq,notes
0,glyoxal_dihydrate,glyoxal_dihydrate,OC(O)C(O)O,/glyoxal_dihydrate,/glyoxal_dihydrate,
1,glyoxylic_monohydrate,glyoxylic_monohydrate,OC(O)C=O,/glyoxylic_monohydrate,/glyoxylic_monohydrate,
2,OOH,OOH,[O][OH],/OOH,/OOH,
3,pentenal,pentenal,OCC(=O)/C=C\C(O)O,/pentenal,/pentenal,
4,hydroxymethyl_peroxyl_rad,hydroxymethyl_peroxyl_rad,OCO[O],/hydroxymethyl_peroxyl_rad,/hydroxymethyl_peroxyl_rad,
5,hydroxymethyl_peroxide,hydroxymethyl_peroxide,OCOO,/hydroxymethyl_peroxide,/hydroxymethyl_peroxide,
6,hydrogen_peroxide,hydrogen_peroxide,OO,/hydrogen_peroxide,/hydrogen_peroxide,
7,glyoxal_dihydrate_radical,glyoxal_dihydrate_radical,O[CH](O)C(O)O,/glyoxal_dihydrate_radical,/glyoxal_dihydrate_radical,
8,glyoxal_monohydrate_OOH_adduct,glyoxal_monohydrate_OOH_adduct,OC(O)C(O[O])O,/glyoxal_monohydrate_OOH_adduct,/glyoxal_monohydrate_OOH_adduct,
10,pentenal_OOH_add_CC,pentenal_OOH_add_CC,OCC(=O)[CH]C(OO)C(O)O,/pentenal_OOH_add_CC,/pentenal_OOH_add_CC,
11,pentenal_ROO_add_CC,pentenal_ROO_add_CC,OCC(=O)[CH]C(OOCO)C(O)O,/pentenal_ROO_add_CC,/pentenal_ROO_add_CC,
12,pentenal_OOH_add_CO,pentenal_OOH_add_CO,OCC(O)(O[O])/C=C\C(O)O,/pentenal_OOH_add_CO,/pentenal_OOH_add_CO,
14,pentenal_OOH_carb_intraHT_H2O_elim,pentenal_OOH_carb_intraHT_H2O_elim,OCC(O)([O])/C=C\C(=O)O,/pentenal_OOH_carb_intraHT_H2O_elim,/pentenal_OOH_carb_intraHT_H2O_elim,
15,pentenal_oxyl,pentenal_oxyl,OCC(O)([O])/C=C\C(O)O,/pentenal_oxyl,/pentenal_oxyl,
16,water,water,O,/water,/water,
17,O2,O2,[O][O],/O2,/O2,
