,reaction_ID,R1,R2,R3,P1,P2,P3,P4
1,benzene_OH_add,c1ccccc1,[OH],,C1(O)C=CC=C[CH]1,,,
2,benzene_OH_adduct_O2_add,C1(O)C=CC=C[CH]1,[O][O],,[C@H]1(O)C=CC=C[C@H](O[O])1,,,
3,benzene_OH_O2_adduct_cycle,[C@H]1(O)C=CC=C[C@H](O[O])1,,,[C@H]1(O)[C@H]2[CH]C=C[C@H](OO2)1,,,
4,benzene_OH_O2_adduct_cycle_O2_add,[C@H]1(O)[C@H]2[CH]C=C[C@H](OO2)1,[O][O],,[C@H]1(O)[C@@H]2[C@@H](O[O])C=C[C@H](OO2)1,,,
5,benzene_OH_O2_adduct_cycle_peroxyl_O_transfer,[C@H]1(O)[C@@H]2[C@@H](O[O])C=C[C@H](OO2)1,[C@H]1(O)[C@@H]2[C@@H](O[O])C=C[C@H](OO2)1,,[C@H]1(O)[C@@H]2[C@@H]([O])C=C[C@H](OO2)1,[C@H]1(O)[C@@H]2[C@@H]([O])C=C[C@H](OO2)1,[O][O],
6,benzene_OH_O2_adduct_cycle_oxyl_open,[C@H]1(O)[C@@H]2[C@@H]([O])C=C[C@H](OO2)1,,,O=C/C=C\C=O,C(=O)[CH]O,,
7,C2_rad_O2_add,C(=O)[CH]O,[O][O],,C(=O)C(O[O])O,,,
8,C2_peroxyl_adduct_OOH_elim,C(=O)C(O[O])O,,,C(=O)C=O,[O][OH],,
9,benzene_epoxidation,[C@H]1(O)[C@@H]2[C@@H]([O])C=C[C@H](OO2)1,,,[C@@H]1(O)[C@@H]2[C@H](O3)[C@H]3[CH][C@@H](OO2)1,,,
10,benzene_OH_adduct_O2_HT,C1(O)C=CC=C[CH]1,[O][O],,c1c(O)cccc1,[O][OH],,
11,benzene_OH_adduct_O2_add_syn,C1(O)C=CC=C[CH]1,[O][O],,[C@H]1(O)C=CC=C[C@@H](O[O])1,,,
12,benzene_OH_O2_adduct_14_cycle,[C@H]1(O)C=CC=C[C@H](O[O])1,,,[CH]1(O)[CH]C2C=C[CH](OO2)1,,,
