,reaction_ID,R1,R2,R3,P1,P2,P3,P4
1,ipso_adduct_phenol,C1C(O)(CO)[CH]C=CC=1,,,c1c(O)cccc1,[CH2]O,,
2,ipso_adduct_O2_add_syn,C1C(O)(CO)[CH]C=CC=1,[O][O],,C1C(O)(CO)[C@@H](O[O])C=CC=1,,,
3,ortho_adduct_sub,C1=C[CH]C(O)C(CO)=C1,[O][O],,c1c(O)c(CO)ccc1,[O][OH],,
4,ortho_adduct_O2_add_anti,C1=C[CH]C(O)C(CO)=C1,[O][O],,C1=CC(O[O])C(O)C(CO)=C1,,,
5,meta_adduct_sub_anti,C1[CH]C(O)C=C(CO)C=1,[O][O],,c1c(O)cc(CO)cc1,[O][OH],,
6,meta_adduct_O2_add_anti,C1[CH]C(O)C=C(CO)C=1,[O][O],,C1C(O[O])C(O)C=C(CO)C=1,,,
7,para_adduct_sub,C1=C(CO)C=CC(O)[CH]1,[O][O],,c1c(O)ccc(CO)c1,[O][OH],,
8,para_adduct_O2_add_anti,C1=C(CO)C=CC(O)[CH]1,[O][O],,C1=C(CO)C=CC(O)C(O[O])1,,,
9,benzene_adduct_sub,C1(O)C=CC=C[CH]1,[O][O],,c1c(O)cccc1,[O][OH],,
10,benzene_adduct_O2_add_anti,C1(O)C=CC=C[CH]1,[O][O],,[C@H]1(O)C=CC=C[C@H](O[O])1,,,
11,OH_add_ipso,c1c(CO)cccc1,[OH],,C1C(O)(CO)[CH]C=CC=1,,,
12,OH_add_ortho,c1c(CO)cccc1,[OH],,C1=C[CH]C(O)C(CO)=C1,,,
13,OH_add_meta,c1c(CO)cccc1,[OH],,C1[CH]C(O)C=C(CO)C=1,,,
14,OH_add_para,c1c(CO)cccc1,[OH],,C1=C(CO)C=CC(O)[CH]1,,,
,BA_HT,c1c(CO)cccc1,[OH],,c1c([CH]O)cccc1,O,,
,BA_ox,c1c([CH]O)cccc1,[O][O],,c1c(C(O[O])O)cccc1,,,
