,reaction_ID,R1,R2,R3,P1,P2,P3,P4
0,BA_ortho_OH_add,c1c(CO)cccc1,[OH],,C1=C[CH]C(O)C(CO)=C1,,,
1,BA_ortho_OH_adduct_O2_add,C1=C[CH]C(O)C(CO)=C1,[O][O],,C1=CC(O[O])C(O)C(CO)=C1,,,
2,BA_ortho_OH_O2_adduct_cycle,C1=CC(O[O])C(O)C(CO)=C1,,,C1[CH]C(OO2)C(O)C2(CO)C=1,,,
3,BA_ortho_OH_O2_adduct_cycle_O2_add,C1[CH]C(OO2)C(O)C2(CO)C=1,[O][O],,C1C(O[O])C(OO2)C(O)C2(CO)C=1,,,
4,BA_ortho_OH_O2_adduct_cycle_peroxyl_O_transfer,C1C(O[O])C(OO2)C(O)C2(CO)C=1,C1C(O[O])C(OO2)C(O)C2(CO)C=1,,C1C([O])C(OO2)C(O)C2(CO)C=1,C1C([O])C(OO2)C(O)C2(CO)C=1,[O][O],
5,BA_ortho_OH_O2_adduct_cycle_oxyl_open,C1C([O])C(OO2)C(O)C2(CO)C=1,,,O=CC=CC(CO)([O])C(O)C=O,,,
6,BA_ortho_OH_O2_adduct_oxyl_frag,O=CC=CC(CO)([O])C(O)C=O,,,OCC(=O)/C=C\C=O,C(=O)[CH]O,,
7,C2_rad_O2_add,C(=O)[CH]O,[O][O],,C(=O)C(O[O])O,,,
8,C2_peroxyl_adduct_OOH_elim,C(=O)C(O[O])O,,,C(=O)C=O,[O][OH],,
9,gly_hyd,C(=O)C=O,O,O,OC(O)C(O)O,,,
10,pentenal_hyd,OCC(=O)/C=C\C=O,O,,OCC(=O)/C=C\C(O)O,,,
11,oxyl_epoxide,C1C([O])C(OO2)C(O)C2(CO)C=1,,,C13C(O3)C(OO2)C(O)C2(CO)[CH]1,,,
12,BA_ortho_OH_O2_adduct_cycle_O2_add_2,C1[CH]C(OO2)C(O)C2(CO)C=1,[O][O],,C1=CC(OO2)C(O)C2(CO)C(O[O])1,,,
